Date,Predicted_Mean,Lower Bound,Upper Bound
2022-10-01,-0.9441044838206792,-27.1478417957545,25.259632828113137
2022-11-01,1.839845488409714,-24.418586557102216,28.098277533921646
2022-12-01,10.056115048630783,-16.2568967247191,36.369126821980664
2023-01-01,0.641203354318769,-25.726274544456768,27.008681253094306
2023-02-01,1.6483056800767129,-24.744466165611993,28.04107752576542
2023-03-01,-0.0009036868543144116,-26.44776529906933,26.445957925360702
2023-04-01,3.3979150971559453,-23.102927485830797,29.898757680142687
2023-05-01,0.37495088530029186,-26.179762935060353,26.929664705660933
2023-06-01,-1.7720409874223029,-28.380516978246373,24.836435003401764
2023-07-01,-1.3924310695950939,-28.054560823747742,25.269698684557554
2023-08-01,-1.5659271493342857,-28.281602912833446,25.149748614164874
2023-09-01,-1.4923635214333553,-28.261478704107073,25.276751661240365
2023-10-01,-0.9409239767360751,-27.91838022018732,26.036532266715167
2023-11-01,1.8430259954943182,-25.194193237166616,28.880245228155253
2023-12-01,10.059295555715387,-17.03755354932288,37.156144660753654
2024-01-01,0.644383861403373,-26.51196475266454,27.800732475471285
2024-02-01,1.651486187161317,-25.542978692706242,28.845951067028878
2024-03-01,0.0022768202302896334,-27.250855645872708,27.255409286333286
2024-04-01,3.4010956042405494,-23.91058052148424,30.712771729965336
2024-05-01,0.37813139238489546,-26.991963170450905,27.748225955220693
2024-06-01,-1.768860480337699,-29.197249057880203,25.659528097204802
2024-07-01,-1.38925056251049,-28.875809523987588,26.097308398966607
2024-08-01,-1.5627466422496818,-29.107353140164886,25.981859855665522
2024-09-01,-1.4891830143487514,-29.091715513364033,26.113349484666532
2024-10-01,-0.9377434696514712,-28.75562602813284,26.880139088829896
2024-11-01,1.846206502578922,-26.036069993379396,29.728482998537242
2024-12-01,10.062476062799991,-17.884044698721095,38.00899682432107
2025-01-01,0.647564368487977,-27.363055006519925,28.65818374349588
2025-02-01,1.654666694245921,-26.406045750786284,29.715379139278127
2025-03-01,0.0054573273148936785,-28.1180936168881,28.129008271517886
